,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
Feature 28,1.3,1.1,1.1,1.1,1.2,2.0,1.3,2.2,1.3
Feature 29,1.8,1.2,1.1,1.2,1.0,2.2,1.4,1.7,4.9
Feature 30,12.2,1.3,1.2,1.2,1.4,1.3,1.9,1.3,1.7
Feature 31,1.2,1.2,1.3,1.5,1.0,1.8,1.5,3.6,1.3
Feature 32,4.3,4.1,5.5,1.5,1.5,2.0,4.0,3.0,2.4
Feature 33,1.4,2.3,2.0,1.9,1.6,1.3,1.5,1.8,2.0
Feature 34,1.3,1.9,2.2,1.8,13.6,1.5,1.8,1.5,1.6
Feature 35,1.4,1.3,1.4,1.4,1.0,2.5,1.9,7.1,1.3
Feature 36,3.7,1.3,1.4,1.4,1.1,1.7,1.6,2.3,6.6
Feature 37,1.3,1.4,1.9,1.9,1.2,1.4,2.0,1.6,1.3
Feature 38,1.8,1.6,1.9,1.5,1.1,1.6,3.1,3.5,1.6
Feature 39,1.9,1.3,1.3,1.2,1.2,2.7,11.4,1.9,1.5
Feature 40,1.6,4.5,4.5,3.9,1.7,1.6,2.0,1.6,1.7
Feature 41,1.3,1.1,1.2,1.1,1.2,1.4,1.3,2.0,2.5
Feature 42,2.0,1.2,1.2,2.0,1.1,3.6,1.5,1.8,2.0
Feature 43,1.6,2.3,4.1,3.5,1.1,1.5,2.6,2.0,1.1
Feature 44,2.5,1.7,1.7,1.9,1.3,2.1,2.7,2.3,2.0
Feature 45,2.1,1.1,1.3,1.2,1.2,2.4,10.3,1.5,1.3
Feature 46,1.3,1.2,1.2,1.3,1.2,5.3,1.2,2.3,1.3
Feature 47,2.1,1.2,1.1,1.0,1.2,2.4,2.9,4.3,1.5
Feature 48,2.9,3.7,3.1,2.5,2.0,2.0,3.1,2.5,2.9
Feature 49,1.5,1.1,1.2,1.2,1.1,2.3,2.2,2.5,1.3
Feature 50,1.4,1.7,1.9,1.6,1.1,1.8,5.1,1.9,1.5
Feature 51,1.9,1.4,1.4,1.2,1.0,1.9,1.8,2.1,1.7
Feature 52,1.6,1.5,1.6,1.6,1.1,2.4,1.6,2.5,1.6
Feature 53,4.6,1.3,1.3,1.4,1.1,1.6,1.5,1.5,5.9
Feature 54,2.5,2.8,2.7,2.7,1.6,6.9,3.2,4.0,3.1
Feature 55,2.2,1.3,1.2,1.3,1.1,1.7,1.8,2.2,1.8
Feature 56,1.5,1.9,4.0,3.7,1.0,1.5,5.4,1.8,1.9
Feature 57,1.5,1.1,1.1,1.2,1.3,2.6,1.5,1.6,1.3
Feature 58,1.9,1.4,1.6,1.3,1.0,3.2,2.0,9.2,1.4
Feature 59,2.4,1.3,1.3,1.2,1.0,2.4,1.5,1.3,8.8
Feature 60,2.2,1.1,1.1,1.6,1.0,6.4,2.3,1.6,1.7
Feature 61,1.4,1.2,1.3,1.1,1.0,2.7,1.4,2.0,1.5
Feature 62,3.1,2.3,2.2,1.8,1.9,1.7,1.8,2.6,6.4
Feature 63,1.4,1.8,1.6,2.0,1.0,1.3,1.8,1.5,3.3
Feature 64,1.7,5.3,6.1,1.7,1.3,1.9,3.2,2.3,1.7
Feature 65,2.0,1.3,1.3,1.3,1.1,1.4,1.7,1.9,1.6
Feature 66,2.3,1.9,1.6,1.5,1.2,1.8,2.3,2.2,2.8
Feature 67,8.0,3.2,4.0,2.5,2.1,3.9,5.9,5.6,8.7
Feature 68,2.1,1.3,1.6,1.4,1.3,1.7,1.6,5.2,2.5
Feature 69,1.8,1.3,1.2,1.3,1.2,1.7,1.9,10.4,1.6
Feature 70,2.6,2.4,3.0,2.8,1.2,1.9,4.0,2.5,2.7
Feature 71,2.3,1.3,1.4,1.1,1.3,1.5,2.0,3.0,1.6
Feature 72,1.4,4.4,3.4,4.2,1.1,1.3,1.6,1.4,1.6
Feature 73,2.9,1.5,1.7,1.4,1.1,1.5,1.9,8.3,2.2
Feature 74,2.3,1.7,1.7,1.8,1.5,4.5,2.0,3.0,2.0
Feature 75,2.4,1.2,1.2,1.1,1.1,1.7,1.7,6.9,2.6
Feature 76,5.0,1.2,1.3,1.2,1.1,1.6,2.8,6.3,3.0
Feature 77,2.3,2.1,1.1,1.1,1.0,1.6,1.8,1.4,3.9
Feature 78,4.3,1.2,1.3,1.2,1.3,1.5,2.3,5.1,2.2
Feature 79,2.4,1.8,1.8,2.8,1.2,2.5,2.2,1.7,4.8
Feature 80,1.7,1.6,1.9,1.2,1.1,4.0,1.8,3.0,1.8
Feature 81,1.8,1.2,1.2,1.4,1.0,1.4,1.9,1.7,1.4
Feature 82,1.4,1.2,1.1,1.2,1.1,2.3,1.4,2.3,1.6
Feature 83,3.0,1.9,3.5,1.6,1.0,2.7,5.3,4.8,2.2
Feature 84,9.2,1.1,1.1,1.3,1.0,1.6,1.2,3.0,1.2
Feature 85,1.5,2.5,3.9,3.8,1.2,1.5,2.4,1.7,1.5
Feature 86,1.9,2.5,2.8,3.7,1.1,2.2,5.8,1.6,2.6
Feature 87,1.8,1.4,1.2,1.4,1.1,2.9,2.4,1.7,2.2
Feature 88,1.6,2.8,3.7,3.5,1.1,1.4,2.8,1.5,1.4
Feature 89,1.8,1.8,2.4,1.4,1.2,1.8,1.9,2.7,2.4
Feature 90,2.0,1.4,1.4,1.3,1.5,1.8,2.3,10.1,1.6
Feature 91,2.8,1.1,1.1,1.2,1.1,1.7,2.7,1.9,8.7
Feature 92,2.0,1.4,1.2,1.4,1.4,1.7,1.5,1.9,2.6
Feature 93,1.4,1.3,1.3,1.2,1.2,3.0,1.4,1.6,1.3
